Security	Trans type	Qty	Open date	Cost	Close date	Proceeds	ST gain($)	LT gain($)	OR gain($)
AIR TRANSPORT SERVICES GROU (ATSG)	Sell.FIFO	100		155.00	07/24/2019	2,410.99		2,255.99	
CISCO SYSTEMS INC (CSCO)	Sell.FIFO	200	01/05/2000	10,224.00	07/24/2019	11,472.96		1,248.96	
CISCO SYSTEMS INC (CSCO)	Sell.FIFO	100	10/17/2000	5,477.50	07/24/2019	5,736.48		258.98	
CISCO SYSTEMS INC (CSCO)	Sell.FIFO	100	03/15/2001	2,099.00	07/24/2019	5,736.48		3,637.48	
CISCO SYSTEMS INC (CSCO)	Sell.FIFO	100	10/05/2001	1,480.95	07/24/2019	5,736.48		4,255.53	
DUKE ENERGY CORP (DUK)	Sell.FIFO	32.6667	07/31/2001	3,841.61	06/04/2019	2,751.63		-1,089.98	
DUKE ENERGY CORP (DUK)	Sell.FIFO	33.3333	09/18/2002	2,163.00	06/04/2019	2,807.78		644.78	
ENBRIDGE INC (ENB)	Sell.FIFO	98		0.00	07/24/2019	3,424.19		3,424.19	
GENERAL ELECTRIC CO (GE)	Sell.FIFO	302		0.00	06/04/2019	2,972.24		2,972.24	
INTEL CORP (INTC)	Sell.FIFO	100	01/16/2001	3,177.50	07/24/2019	5,197.91		2,020.41	
INTEL CORP (INTC)	Sell.FIFO	100	10/17/2001	2,005.95	07/24/2019	5,197.90		3,191.95	
ST JOE CO (JOE)	Sell.FIFO	100.898		0.00	07/24/2019	1,835.73		1,835.73	
ST JOE CO (JOE)	Sell.FIFO	0.297	03/31/2003	8.07	07/24/2019	5.41		-2.66	
ST JOE CO (JOE)	Sell.FIFO	0.377	09/30/2003	12.14	07/24/2019	6.86		-5.28	
ST JOE CO (JOE)	Sell.FIFO	0.321	12/31/2003	12.19	07/24/2019	5.84		-6.35	
ST JOE CO (JOE)	Sell.FIFO	0.301	03/31/2004	12.23	07/24/2019	5.47		-6.76	
ST JOE CO (JOE)	Sell.FIFO	0.309	06/30/2004	12.26	07/24/2019	5.63		-6.63	
ST JOE CO (JOE)	Sell.FIFO	0.302	09/30/2004	14.35	07/24/2019	5.49		-8.86	
ST JOE CO (JOE)	Sell.FIFO	0.222	12/31/2004	14.39	07/24/2019	4.04		-10.35	
ST JOE CO (JOE)	Sell.FIFO	0.212	03/31/2005	14.42	07/24/2019	3.86		-10.56	
ST JOE CO (JOE)	Sell.FIFO	0.176	06/30/2005	14.45	07/24/2019	3.20		-11.25	
ST JOE CO (JOE)	Sell.FIFO	0.267	09/30/2005	16.55	07/24/2019	4.86		-11.69	
ST JOE CO (JOE)	Sell.FIFO	0.244	12/30/2005	16.59	07/24/2019	4.44		-12.15	
ST JOE CO (JOE)	Sell.FIFO	0.266	03/31/2006	16.63	07/24/2019	4.84		-11.79	
ST JOE CO (JOE)	Sell.FIFO	0.349	06/30/2006	16.67	07/24/2019	6.35		-10.32	
ST JOE CO (JOE)	Sell.FIFO	0.299	09/29/2006	16.73	07/24/2019	5.44		-11.29	
ST JOE CO (JOE)	Sell.FIFO	0.315	12/29/2006	16.77	07/24/2019	5.73		-11.04	
ST JOE CO (JOE)	Sell.FIFO	0.315	03/30/2007	16.82	07/24/2019	5.73		-11.09	
ST JOE CO (JOE)	Sell.FIFO	0.362	06/29/2007	16.88	07/24/2019	6.58		-10.30	
ST JOE CO (JOE)	Sell.FIFO	0.168	09/28/2007	5.71	07/24/2019	3.06		-2.65	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	597.208		0.00	06/14/2019	12,147.21		12,147.21	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	1.187	12/20/2004	15.30	06/14/2019	24.14		8.84	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	8.711	12/19/2005	130.41	06/14/2019	177.19		46.78	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	73.273	12/18/2006	1,225.87	06/14/2019	1,490.37		264.50	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	2.739	12/14/2007	52.84	06/14/2019	55.71		2.87	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	0.29	12/14/2007	5.59	06/14/2019	5.90		0.31	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	30.623	12/14/2007	590.72	06/14/2019	622.87		32.15	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	4.705	12/12/2008	42.25	06/14/2019	95.70		53.45	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	29.256	12/12/2008	262.72	06/14/2019	595.07		332.35	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	0.311	12/21/2009	4.02	06/14/2019	6.32		2.30	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	1.606	12/21/2010	23.25	06/14/2019	32.67		9.42	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	6.595	12/18/2012	98.92	06/14/2019	134.14		35.22	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	1.046	12/17/2013	21.07	06/14/2019	21.28		0.21	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	78.001	12/17/2014	1,645.83	06/14/2019	1,586.54		-59.29	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	5.678	12/17/2014	119.81	06/14/2019	115.49		-4.32	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	23.239	12/17/2015	424.57	06/14/2019	472.68		48.11	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	2.773	12/17/2015	50.66	06/14/2019	56.40		5.74	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	2.188	12/19/2016	43.23	06/14/2019	44.51		1.28	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	29.927	12/19/2016	591.36	06/14/2019	608.71		17.35	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	9.452	12/19/2017	179.02	06/14/2019	192.25		13.23	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	62.592	12/19/2017	1,185.50	06/14/2019	1,273.13		87.63	
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	43.189	12/18/2018	729.46	06/14/2019	878.46	149.00		
JANUS HENDERSON CONTRARIAN  (JSVAX)	Sell.FIFO	41.028	12/18/2018	692.96	06/14/2019	834.51	141.55		
NEWELL BRANDS INC (NWL)	Sell.FIFO	100	12/28/2000	2,258.75	06/04/2019	1,444.53		-814.22	
REGIONS FINANCIAL CORP (RF)	Sell.FIFO	79		0.00	06/04/2019	1,128.52		1,128.52	
REGIONS FINANCIAL CORP (RF)	Sell.FIFO	21	11/29/2007	544.40	06/04/2019	299.98		-244.42	
RED HAT INC (RHT)	Corp Action G/L	100		0.00	07/09/2019	19,000.00		19,000.00	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	297.672		0.00	07/24/2019	10,534.61		10,534.61	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.996	12/02/2003	63.68	07/24/2019	70.64		6.96	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	2.203	12/02/2004	80.00	07/24/2019	77.96		-2.04	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	2.09	12/02/2005	84.50	07/24/2019	73.97		-10.53	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.939	12/04/2006	87.23	07/24/2019	68.62		-18.61	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	3.104	12/03/2007	148.96	07/24/2019	109.85		-39.11	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	4.261	12/02/2008	109.38	07/24/2019	150.80		41.42	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	2.427	12/02/2009	89.28	07/24/2019	85.89		-3.39	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	3.906	12/02/2010	154.69	07/24/2019	138.23		-16.46	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.364	12/22/2011	53.37	07/24/2019	48.27		-5.10	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.476	12/19/2012	20.09	07/24/2019	16.85		-3.24	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	16.656	12/19/2012	703.55	07/24/2019	589.45		-114.10	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	4.567	12/19/2012	192.90	07/24/2019	161.63		-31.27	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	18.86	07/02/2013	853.23	07/24/2019	667.46		-185.77	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.439	07/02/2013	65.11	07/24/2019	50.92		-14.19	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.833	07/02/2013	37.69	07/24/2019	29.48		-8.21	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	13.25	12/20/2013	649.37	07/24/2019	468.92		-180.45	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.601	12/20/2013	29.47	07/24/2019	21.27		-8.20	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.787	12/20/2013	38.56	07/24/2019	27.85		-10.71	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.231	07/02/2014	11.35	07/24/2019	8.18		-3.17	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.177	07/02/2014	57.90	07/24/2019	41.65		-16.25	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	30.548	07/02/2014	1,502.37	07/24/2019	1,081.09		-421.28	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.508	12/12/2014	21.75	07/24/2019	17.98		-3.77	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	54.763	12/12/2014	2,343.31	07/24/2019	1,938.06		-405.25	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	3.296	07/02/2015	132.25	07/24/2019	116.65		-15.60	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	51.057	07/02/2015	2,048.90	07/24/2019	1,806.91		-241.99	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	38.566	12/11/2015	1,430.03	07/24/2019	1,364.85		-65.18	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	5.189	12/11/2015	192.40	07/24/2019	183.64		-8.76	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.747	07/05/2016	58.07	07/24/2019	61.82		3.75	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	59.362	07/05/2016	1,973.18	07/24/2019	2,100.82		127.64	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	26.594	12/14/2016	968.56	07/24/2019	941.16		-27.40	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	2.934	12/14/2016	106.85	07/24/2019	103.84		-3.01	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.6	12/14/2016	21.87	07/24/2019	21.23		-0.64	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.909	06/29/2017	72.05	07/24/2019	67.56		-4.49	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	2.603	06/29/2017	98.25	07/24/2019	92.12		-6.13	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	16.488	06/29/2017	622.25	07/24/2019	583.51		-38.74	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	0.681	12/14/2017	27.04	07/24/2019	24.10		-2.94	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	27.054	12/14/2017	1,074.84	07/24/2019	957.44		-117.40	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	42.978	06/28/2018	1,653.78	07/24/2019	1,520.99		-132.79	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	2.195	06/28/2018	84.45	07/24/2019	77.69		-6.76	
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	1.6	12/13/2018	50.55	07/24/2019	56.62	6.07		
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	68.751	12/13/2018	2,171.84	07/24/2019	2,433.10	261.26		
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	24.426	06/26/2019	819.26	07/24/2019	864.43	45.17		
SELECTED AMERN SHS INC CL S (SLASX)	Sell.FIFO	3.786	06/26/2019	126.99	07/24/2019	133.99	7.00		
SUNTRUST BANKS INC (STI)	Sell.FIFO	100	03/10/2000	4,774.50	06/04/2019	6,193.91		1,419.41	
AT&T INC (T)	Sell.FIFO	95.1	01/16/2001	3,094.55	06/04/2019	2,955.26		-139.29	
AT&T INC (T)	Sell.FIFO	47.9	10/17/2001	1,558.67	06/04/2019	1,488.51		-70.16	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	327.63	02/17/2005	9,000.00	06/04/2019	8,913.96		-86.04	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	16.476	12/23/2005	483.25	06/04/2019	448.27		-34.98	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	35.526	12/21/2006	1,212.53	06/04/2019	966.56		-245.97	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	8.265	12/19/2007	225.88	06/04/2019	224.87		-1.01	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	2.32	12/19/2007	63.41	06/04/2019	63.13		-0.28	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	42.853	12/19/2007	1,171.17	06/04/2019	1,165.91		-5.26	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	12.877	12/23/2008	184.91	06/04/2019	350.35		165.44	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	5.734	12/23/2009	115.95	06/04/2019	156.01		40.06	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	18.305	12/22/2010	416.81	06/04/2019	498.03		81.22	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	3.482	12/18/2012	87.65	06/04/2019	94.74		7.09	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	22.198	12/18/2012	558.72	06/04/2019	603.95		45.23	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	16.689	12/18/2012	420.07	06/04/2019	454.06		33.99	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	4.856	12/18/2013	137.95	06/04/2019	132.12		-5.83	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	2.402	12/18/2013	68.23	06/04/2019	65.35		-2.88	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	5.477	12/18/2013	155.60	06/04/2019	149.02		-6.58	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	10.433	12/09/2014	328.86	06/04/2019	283.85		-45.01	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	8.461	12/09/2014	266.69	06/04/2019	230.20		-36.49	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	2.147	12/08/2015	62.38	06/04/2019	58.42		-3.96	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	3.94	12/08/2015	114.45	06/04/2019	107.19		-7.26	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	24.038	12/08/2015	698.31	06/04/2019	654.02		-44.29	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	4.83	12/14/2016	146.05	06/04/2019	131.41		-14.64	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	5.373	12/14/2016	162.47	06/04/2019	146.18		-16.29	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	6.25	12/20/2017	211.99	06/04/2019	170.05		-41.94	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	0.908	12/20/2017	30.79	06/04/2019	24.70		-6.09	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	29.672	12/20/2017	1,006.48	06/04/2019	807.30		-199.18	
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	11.485	12/19/2018	291.38	06/04/2019	312.48	21.10		
THIRD AVE REAL ESTATE VALUE (TAREX)	Sell.FIFO	55.775	12/19/2018	1,415.02	06/04/2019	1,517.49	102.47		
WABTEC CORP (WAB)	Sell.FIFO	0.622	02/26/2019	48.55	02/28/2019	45.69	-2.86		
WABTEC CORP (WAB)	Sell.FIFO	1	02/26/2019	78.06	06/04/2019	58.32	-19.74		
WELLS FARGO & CO (WFC)	Sell.FIFO	216.011		0.00	07/24/2019	10,239.60		10,239.60	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.321		0.00	07/24/2019	15.22		15.22	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.006	12/02/2002	0.18	07/24/2019	0.29		0.11	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.29	12/02/2002	30.10	07/24/2019	61.15		31.05	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.008	03/03/2003	0.20	07/24/2019	0.38		0.18	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.42	03/03/2003	32.45	07/24/2019	67.31		34.86	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.008	06/02/2003	0.20	07/24/2019	0.38		0.18	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.328	06/02/2003	32.66	07/24/2019	62.95		30.29	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.956	09/02/2003	49.59	07/24/2019	92.72		43.13	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.736	12/01/2003	50.03	07/24/2019	82.29		32.26	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.746	03/01/2004	50.42	07/24/2019	82.77		32.35	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.738	06/01/2004	50.81	07/24/2019	82.38		31.57	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.858	09/01/2004	54.62	07/24/2019	88.08		33.46	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.766	12/01/2004	55.06	07/24/2019	83.71		28.65	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.85	03/01/2005	55.49	07/24/2019	87.70		32.21	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.828	06/01/2005	55.93	07/24/2019	86.65		30.72	
WELLS FARGO & CO (WFC)	Sell.FIFO	2.03	09/01/2005	61.07	07/24/2019	96.23		35.16	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.944	12/01/2005	61.59	07/24/2019	92.15		30.56	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.926	03/01/2006	62.10	07/24/2019	91.30		29.20	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.872	06/01/2006	62.60	07/24/2019	88.74		26.14	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.956	09/01/2006	67.94	07/24/2019	92.72		24.78	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.947	12/01/2006	68.49	07/24/2019	92.29		23.80	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.983	03/01/2007	69.03	07/24/2019	94.00		24.97	
WELLS FARGO & CO (WFC)	Sell.FIFO	1.925	06/01/2007	69.59	07/24/2019	91.25		21.66	
WELLS FARGO & CO (WFC)	Sell.FIFO	2.133	09/04/2007	77.64	07/24/2019	101.12		23.48	
WELLS FARGO & CO (WFC)	Sell.FIFO	2.461	12/03/2007	78.30	07/24/2019	116.65		38.35	
WELLS FARGO & CO (WFC)	Sell.FIFO	2.787	03/03/2008	79.07	07/24/2019	132.12		53.05	
WELLS FARGO & CO (WFC)	Sell.FIFO	2.953	06/02/2008	79.93	07/24/2019	139.98		60.05	
WELLS FARGO & CO (WFC)	Sell.FIFO	2.838	09/02/2008	88.67	07/24/2019	134.53		45.86	
WELLS FARGO & CO (WFC)	Sell.FIFO	3.297	12/01/2008	89.63	07/24/2019	156.29		66.66	
WELLS FARGO & CO (WFC)	Sell.FIFO	8.585	03/02/2009	90.75	07/24/2019	406.95		316.20	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.533	06/01/2009	13.78	07/24/2019	25.27		11.49	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.521	09/01/2009	13.81	07/24/2019	24.70		10.89	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.495	12/01/2009	13.83	07/24/2019	23.46		9.63	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.506	03/01/2010	13.86	07/24/2019	23.99		10.13	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.481	06/01/2010	13.88	07/24/2019	22.80		8.92	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.568	09/01/2010	13.91	07/24/2019	26.92		13.01	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.505	12/01/2010	13.93	07/24/2019	23.94		10.01	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.438	03/01/2011	13.96	07/24/2019	20.76		6.80	
WELLS FARGO & CO (WFC)	Sell.FIFO	0.617	03/31/2011	19.57	07/24/2019	29.25		9.68	
